space1,空间2级,时间1级,时间2级,绝对时间,绝对空间
地区,国家,时代,朝代,时间,高度
亚洲,日本,新石器时代,日本,-5000,5
亚洲,中国,新石器时代,中国,-5000,10
亚洲,印度,新石器时代,印度及西亚,-5000,15
中东及近东,中东及西亚,新石器时代,中东,-5000,20
中东及近东,近东,新石器时代,近东,-5000,25
非洲,埃及,新石器时代,埃及,-5000,30
欧洲,西班牙,新石器时代,西班牙,-5000,35
欧洲,法国,新石器时代,法国,-5000,40
欧洲,希腊,新石器时代,希腊,-5000,45
欧洲,意大利,新石器时代,意大利,-5000,50
欧洲,德国,新石器时代,德国,-5000,55
欧洲,英国,新石器时代,英国,-5000,60
美洲,北美,新石器时代,北美,-5000,65
美洲,南美,新石器时代,南美,-5000,70
亚洲,日本,新石器时代,绳文时代,-12000,5
亚洲,日本,新石器时代,弥生时代,-800,5
亚洲,日本,青铜时代,古坟时代,300,5
亚洲,日本,铁器时代,飞鸟时代,600,5
亚洲,日本,铁器时代,奈良时代,710,5
亚洲,日本,铁器时代,平安时代,794,5
亚洲,日本,铁器时代,镰仓时代,1185,5
亚洲,日本,铁器时代,南北朝时代,1334,5
亚洲,日本,铁器时代,室町时代,1394,5
亚洲,日本,铁器时代,安土桃山时代,1573,5
亚洲,日本,铁器时代,江户时代,1603,5
亚洲,日本,铁器时代,明治时代,1868,5
亚洲,日本,铁器时代,大正时代,1912,5
亚洲,中国,青铜时代,夏朝,-2100,10
亚洲,中国,青铜时代,商朝,-1600,10
亚洲,中国,青铜时代,西周,-1100,10
亚洲,中国,铁器时代,春秋,-770,10
亚洲,中国,铁器时代,战国,-475,10
亚洲,中国,铁器时代,秦朝,-221,10
亚洲,中国,铁器时代,西汉,-202,10
亚洲,中国,铁器时代,新朝,8,10
亚洲,中国,铁器时代,东汉,25,10
亚洲,中国,铁器时代,三国,220,10
亚洲,中国,铁器时代,西晋,265,10
亚洲,中国,铁器时代,东晋,317,10
亚洲,中国,铁器时代,十六国,304,10
亚洲,中国,铁器时代,南北朝,420,10
亚洲,中国,铁器时代,隋朝,581,10
亚洲,中国,铁器时代,唐朝,618,10
亚洲,中国,铁器时代,五代十国,907,10
亚洲,中国,铁器时代,北宋,960,10
亚洲,中国,铁器时代,南宋,1127,10
亚洲,中国,铁器时代,辽朝,916,10
亚洲,中国,铁器时代,西夏,1038,10
亚洲,中国,铁器时代,金朝,1115,10
亚洲,中国,铁器时代,元朝,1271,10
亚洲,中国,铁器时代,明朝,1368,10
亚洲,中国,铁器时代,清朝,1644,10
亚洲,印度,青铜时代,哈拉帕文明,-3000,15
亚洲,印度,青铜时代,雅利安人征服,-2000,15
亚洲,印度,铁器时代,吠陀时期,-1500,15
亚洲,印度,铁器时代,印度十六雄国时期,-600,15
亚洲,印度,铁器时代,波斯征服时期,-550,15
亚洲,印度,铁器时代,亚历山大征服,-330,15
亚洲,印度,铁器时代,孔雀王朝,-322,15
亚洲,印度,铁器时代,外族征服时期,-200,15
亚洲,印度,铁器时代,笈多王朝,320,15
亚洲,印度,铁器时代,后笈多王朝,700,15
亚洲,印度,铁器时代,德里苏丹国,1206,15
亚洲,印度,铁器时代,莫卧儿帝国,1526,15
亚洲,印度,铁器时代,英国殖民时期,1758,15
亚洲,印度,铁器时代,印巴分治,1947,15
亚洲,印度,铁器时代,印度共和国,1971,15
中东及近东,中东,青铜时代,苏美尔,-3500,20
中东及近东,中东,青铜时代,阿卡德时期,-2200,20
中东及近东,中东,青铜时代,巴比伦时期,-1900,20
中东及近东,中东,铁器时代,亚述时期,-1000,20
中东及近东,中东,铁器时代,新巴比伦时期,-612,20
中东及近东,中东,铁器时代,波斯帝国,-539,20
中东及近东,中东,铁器时代,亚历山大征服,-330,20
中东及近东,中东,铁器时代,塞琉古王朝,-305,20
中东及近东,中东,铁器时代,帕提亚王国,-247,20
中东及近东,中东,铁器时代,罗马建立行省,-88,20
中东及近东,中东,铁器时代,萨珊王朝（226-642）,226,20
中东及近东,中东,铁器时代,四大哈里发时期,632,20
中东及近东,中东,铁器时代,倭马亚王朝,661,20
中东及近东,中东,铁器时代,阿拔斯王朝,750,20
中东及近东,中东,铁器时代,萨曼王朝·布哈拉（874-999）,874,20
中东及近东,中东,铁器时代,塞尔柱突厥帝国（1055-1258）,1055,20
中东及近东,中东,铁器时代,伊尔汗国8巴格达（1263-1355）,1258,20
中东及近东,中东,铁器时代,波斯黑羊王朝（1375-1468）,1375,20
中东及近东,中东,铁器时代,波斯白羊王朝（1378-1502）,1378,25
中东及近东,中东,铁器时代,波斯萨法维王国（1502-1722）,1502,20
中东及近东,中东,铁器时代,埃夫沙尔王朝（1736-1747）,1736,20
中东及近东,中东,铁器时代,凯加王朝（1786-）,1786,20
中东及近东,近东,铁器时代,赫梯帝国（1650BC-1200BC）,-1650,25
中东及近东,近东,铁器时代,以色列（1300BC-550BC）,-1300,25
中东及近东,近东,铁器时代,腓尼基（1150BC-650BC）,-1150,25
中东及近东,近东,铁器时代,波斯征服时期,-530,25
中东及近东,近东,铁器时代,亚历山大征服,-330,25
中东及近东,近东,铁器时代,帕加马王国,-200,25
中东及近东,近东,铁器时代,罗马征服时期,-50,25
中东及近东,近东,铁器时代,伊斯兰帝国,600,25
中东及近东,近东,铁器时代,奥斯曼帝国（1299-1923）,1299,25
非洲,埃及,青铜时代,前王朝时期,-4000,30
非洲,埃及,青铜时代,早王朝时期,-3100,30
非洲,埃及,青铜时代,古王国时期,-2686,30
非洲,埃及,青铜时代,第一中间期,-2181,30
非洲,埃及,青铜时代,中王国时期,-2040,30
非洲,埃及,青铜时代,第二中间期,-1786,30
非洲,埃及,铁器时代,新王国时期,-1567,30
非洲,埃及,铁器时代,后王朝时期,-1085,30
非洲,埃及,铁器时代,波斯征服时期,-525,30
非洲,埃及,铁器时代,埃及独立时期,-404,30
非洲,埃及,铁器时代,亚历山大征服时期（托勒密埃及）,-332,30
非洲,埃及,铁器时代,罗马征服时期,-30,30
非洲,埃及,铁器时代,阿拉伯征服时期,670,30
欧洲,西班牙,旧石器时代,Cueva de Altamira,-14000,35
欧洲,西班牙,旧石器时代,iberos,-5500,35
欧洲,西班牙,青铜时代,铜器时代,-3000,35
欧洲,西班牙,铁器时代,los celtas征服,-1200,35
欧洲,西班牙,铁器时代,Fenicios殖民期,-800,35
欧洲,西班牙,铁器时代,Greek殖民期,-600,35
欧洲,西班牙,铁器时代,罗马开始征服,-218,35
欧洲,西班牙,铁器时代,罗马完全征服,-19,35
欧洲,西班牙,铁器时代,西哥特人在托莱多建城,500,35
欧洲,西班牙,铁器时代,摩尔人征服,711,35
欧洲,西班牙,铁器时代,基督教世界陆续收复,1100,35
欧洲,西班牙,铁器时代,攻占Granada，穆斯林统治结束,1492,35
欧洲,西班牙,铁器时代,奥地利哈布斯堡王朝,1516,35
欧洲,西班牙,铁器时代,波旁王朝,1700,35
欧洲,西班牙,铁器时代,独立战争和政治革命,1808,35
欧洲,西班牙,铁器时代,波旁王朝Fernando VII复辟,1814,35
欧洲,西班牙,铁器时代,第一共和国,1873,35
